;id_turma;discente;id_curso;unidade;nota;reposicao;faltas_unidade;media_final;numero_total_faltas;descricao
92552;57586281;396968dbb253ce5f6b65473b9947dd37;92127264.0;2.0;3.0;t;0.0;3.9;0.0;REPROVADO
92553;57586281;396968dbb253ce5f6b65473b9947dd37;92127264.0;3.0;4.3;f;0.0;3.9;0.0;REPROVADO
92554;57586281;396968dbb253ce5f6b65473b9947dd37;92127264.0;1.0;4.0;f;0.0;3.9;0.0;REPROVADO
92555;57586281;ec9d559de18eb6d63602095950bf50f6;92127264.0;;;;;;;DESISTENCIA
92556;57586281;3937ba9886476e53a2eda1d4f6e067a9;92127264.0;1.0;4.8;f;0.0;4.1;0.0;REPROVADO
92557;57586281;3937ba9886476e53a2eda1d4f6e067a9;92127264.0;2.0;3.3;f;0.0;4.1;0.0;REPROVADO
92558;57586281;3937ba9886476e53a2eda1d4f6e067a9;92127264.0;3.0;4.3;f;0.0;4.1;0.0;REPROVADO
399137;57586281;ad46ce267d0d845ef75e22248c98ede5;92127264.0;;;;;;;INDEFERIDO
